고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분
사당2동 1031-3,37.4795972,126.9815077,동작구,동작대로 신한은행 인근,불법주정차구역
사당동135-12 ,37.4884421,126.9820823,동작구,4호선 총신대역14번출구 LGU+ 인근,불법주정차구역
노량진동 59-30,37.51348376,126.9416013,동작구,9호선 노량진역3-1출구 인근,불법주정차구역
노량진동 60-12,37.51379487,126.9421299,동작구,9호선 노량진역8번출구 인근,불법주정차구역
노량진동 41-9,37.51323167,126.9375663,동작구,노량진 리더스타워 인근,불법주정차구역
노량진동 148-8,37.51362252,126.9444064,동작구,노량진 영빌딩주차장 인근,불법주정차구역
노량진동 14-15,37.51352219,126.9374756,동작구,노량진 지하배수로 인근,불법주정차구역
노량진동 151-10,37.51393137,126.9449575,동작구,노량진 박문각빌딩 인근,불법주정차구역
흑석1동 9-73,37.507332,126.9653309,동작구,신한은행흑석동지점 인근,불법주정차구역
노량진2동13-6 ,37.514706,126.935908,동작구,노량진수산시장 주차장입구,불법주정차구역
노량진2동13-6 ,37.515498,126.939487,동작구,노들길(노량진수산시장신시장),불법주정차구역
상도2동 365-7호,37.504629,126.937407,동작구,웰빙마트,불법주정차구역
사당4동 316-4 ,37.481846,126.97253,동작구,농협하나로마트,불법주정차구역
신대방2동 361-2,37.4978166,126.9241021,동작구,동작우체국사거리,불법주정차구역
사당동 167-19,37.48802,126.972802,동작구,이수역로이파크 아파트 정문,불법주정차구역
사당동 167-19,37.488866,126.973659,동작구,이수역로이파크 아파트 후문,불법주정차구역
상도동36-38,37.50521,126.946634,동작구,e편한세상출입구 ,불법주정차구역
상도동34-21,37.504028,126.947027,동작구,LG전자 맞은편,불법주정차구역
흑석동 173-8 ,37.509961,126.960359,동작구,아크로리버하임 입구 107동 앞,불법주정차구역
흑석동 169-28 ,37.50923672,126.9608633,동작구,아크로리버하임 입구 104동 앞,불법주정차구역
흑석동 86-208 ,37.504668,126.960846,동작구,롯데캐슬 에듀포레 부근,불법주정차구역
흑석동183-5 ,37.507731,126.961094,동작구,중대병원 앞,불법주정차구역
노량진1동118-5 ,37.512463,126.94431,동작구,만양로 정진학원 앞,불법주정차구역
노량진1동 224-1 ,37.51052,126.944596,동작구,만양로 강남교회 앞,불법주정차구역
사당2동 132-6 ,37.487577,126.98109,동작구,사당2동 우성아파트 ,불법주정차구역
상도4동 248-17 ,37.5,126.932403,동작구,성대시장 사거리,불법주정차구역
신대방2동 395-73 ,37.491633,126.924697,동작구,캐릭터그린빌,불법주정차구역
대방동 401-21 ,37.49979,126.922451,동작구,서울공고 버스정류장,불법주정차구역
사당3동 708-413 ,37.483275,126.974561,동작구,대림아파트 상가주변,불법주정차구역
흑석동 97-1,37.507985,126.963004,동작구,흑석동 빗물펌프장주변,불법주정차구역
대방동 501,37.509074,126.924102,동작구,대방동 우리은행,불법주정차구역
노량진1동 217-41,37.508084,126.947319,동작구,우성아파트 앞,불법주정차구역
흑석동 86-117 ,37.506184,126.961212,동작구,중대부초앞,불법주정차구역
신대방1동 492-200 ,37.494827,126.914635,동작구,대방중학교,불법주정차구역
신대방2동 425 ,37.493077,126.923247,동작구,보라매병원 앞,불법주정차구역
사당3동 150-10 ,37.484313,126.978879,동작구,이수역 10번 출구,불법주정차구역
대방동 405-11 ,37.499645,126.928122,동작구,신대방삼거리역,불법주정차구역
동작구 상도동 2-1,37.50751432,126.9515381,동작구,강남초등학교진입로,불법주정차구역
사당2동 120-4 ,37.488698,126.978391,동작구,두성상가 앞,불법주정차구역
상도1동 475 ,37.497427,126.952497,동작구,현대엠코아파트 입구,불법주정차구역
신대방1동 695 ,37.486643,126.907536,동작구,성원쌍떼빌 뒤길,불법주정차구역
흑석동39-10 ,37.505574,126.966237,동작구,흑석동주민센터,불법주정차구역
사당1동 1041-11 ,37.477318,126.980043,동작구,사당노인종합복지관 ,불법주정차구역
대방동101-5 ,37.513898,126.927943,동작구,우정아파트 진입로,불법주정차구역
상도2동 527,37.505252,126.944259,동작구,상도브라운스톤앞,불법주정차구역
상도2동 521,37.501251,126.941242,동작구,상도동더?아파트앞,불법주정차구역
상도1동470-8 ,37.497235,126.950306,동작구,상도현대엠코후문,불법주정차구역
사당1동 147-29,37.484234,126.980954,동작구,이수자이뒷편,불법주정차구역
대방동 344-10,37.511935,126.926338,동작구,대방경남아너스빌옆,불법주정차구역
동작구 사당동 105-23,37.48776965,126.9753519,동작구,사당동 삼일초등학교,불법주정차구역
동작구 대방동 44-3,37.50878676,126.932209,동작구,대방동 영화초등학교,불법주정차구역
동작구 사당동 183-37,37.49052246,126.9636836,동작구,사당롯데캐슬골든포레아파트 후문 입구앞,불법주정차구역
동작구 상도동 325-21,37.49976294,126.9311525,동작구,상도 하나은행 대방동지점앞,불법주정차구역
동작구 신대방동 488-1,37.49585189,126.9161445,동작구,보라매초등학교,불법주정차구역
동작구 사당동 1011-1,37.48194349,126.9782341,동작구,남사초교,불법주정차구역
동작구 사당동 181,37.49233562,126.9636836,동작구,사당롯데캐슬골든포레아파트 정문앞,불법주정차구역
동작구 노량진동 41-5,37.51318533,126.9380387,동작구,노량진 반려견 공원,불법주정차구역
동작구 대방동 351-6,37.51087166,126.9267292,동작구,신길초등학교,불법주정차구역
동작구 사당동 1154,37.47949611,126.9701405,동작구,사당휴먼시아아파트,불법주정차구역
동작구 상도동 28-13,37.50416799,126.9443826,동작구,"상도2동,두산위브아파트",불법주정차구역
동작구 노량진동 54-10,37.51284798,126.9404651,동작구,더써밋타워 앞,불법주정차구역
동작구 상도1동 562,37.50557964,126.9520754,동작구,강남초등학교 주변,불법주정차구역
동작구 상도동 208-5,37.49919724,126.9440043,동작구,신상도초등학교,불법주정차구역
동작구 대방동 395-5,37.50019052,126.9254454,동작구,대림초등학교,불법주정차구역
동작구 신대방동 357-4,37.49793387,126.9261771,동작구,보라매자이더포레스트107동앞(은혜교회),불법주정차구역
동작구 신대방동 697,37.48571079,126.9056427,동작구,동작협성휴포레시그니처아파트 후문,불법주정차구역
동작구 신대방동 460-13,37.49007941,126.917693,동작구,남부장애인복지관,불법주정차구역
동작구 상도동 906,37.49774004,126.9397872,동작구,상도푸르지오클라베뉴102동앞,불법주정차구역
동작구 사당동 321-114,37.48314324,126.9757917,동작구,사당로252(동물은내친구),불법주정차구역
동작구 신대방동 347-25,37.49907596,126.9274503,동작구,보라매자이더포레스트105동상가앞,불법주정차구역
동작구 흑석동 7-1,37.50878498,126.9640531,동작구,흑석초등학교,불법주정차구역
동작구 본동 492,37.50965792,126.9489985,동작구,영본초등학교,불법주정차구역
동작구 노량진동 240-18,37.5113766,126.940014,동작구,노량진초등학교,불법주정차구역
동작구 신대방동 686-48,37.48649178,126.9055262,동작구,동작협성휴포레시그니처아파트 정문,불법주정차구역
동작구 신대방동 644-5,37.48773219,126.9127875,동작구,문창초등학교입구,불법주정차구역
동작구 상도동 906,37.4982013,126.938803,동작구,상도푸르지오클라베뉴105동앞,불법주정차구역
동작구 사당동 265-32,37.48362902,126.972682,동작구,남성역 골목시장 입구,불법주정차구역
동작구 상도동 906,37.49689973,126.9395504,동작구,상도푸르지오클라베뉴110동앞,불법주정차구역
동작구 상도동 906,37.49708861,126.9389085,동작구,상도푸르지오클라베뉴108동앞,불법주정차구역
동작구 사당동 70-1,37.49137381,126.9803667,동작구,동작동 성당,불법주정차구역
동작구 사당동 59,37.49246782,126.9769273,동작구,동작초등학교입구,불법주정차구역
동작구 동작동 333,37.49440655,126.9800458,동작구,희망어린이공원 삼거리,불법주정차구역
동작구 상도동 904,37.50075669,126.9455355,동작구,상도롯데캐슬아파트103동앞,불법주정차구역
동작구 대방동 407-43,37.49901894,126.9254447,동작구,보라매자이더포레스트103동앞,불법주정차구역

